0,T1078.001,S0537,HyperStack,HyperStack can use default credentials to connect to IPC$ shares on remote machines.[5]
1,T1078.001,S0603,Stuxnet,Stuxnet infected WinCC machines via a hardcoded database server password.[6]
2,T1078.001,S0689,WhisperGate,The WhisperGate third stage can use the AdvancedRun.exe tool to execute commands in the context of the Windows TrustedInstaller group.[7]
3,T1078.002,G0016,APT29,"APT29 has used valid accounts, including administrator accounts, to help facilitate lateral movement on compromised networks.[3][4][5]"
4,T1078.002,G0022,APT3,APT3 leverages valid accounts after gaining credentials for use within the victim domain.[6]
5,T1078.002,G0114,Chimera,Chimera has used compromised domain accounts to gain access to the target environment.[7]
6,T1078.002,S0154,Cobalt Strike,Cobalt Strike can use known credentials to run commands and spawn processes as a domain user account.[8][9][10]
7,T1078.002,G0119,Indrik Spider,"Indrik Spider has collected credentials from infected systems, including domain accounts.[11]"
8,T1078.002,G0019,Naikon,Naikon has used administrator credentials for lateral movement in compromised networks.[12]
9,T1078.002,G0116,Operation Wocao,"Operation Wocao has used domain credentials, including domain admin, for lateral movement and privilege escalation.[13]"
10,T1078.002,S0446,Ryuk,Ryuk can use stolen domain admin accounts to move laterally within a victim domain.[14]
11,T1078.002,G0034,Sandworm Team,Sandworm Team has used stolen credentials to access administrative accounts within the domain.[15]
12,T1078.002,S0140,Shamoon,"If Shamoon cannot access shares using current privileges, it attempts access using hard coded, domain-specific credentials gathered earlier in the intrusion.[16][17]"
13,T1078.002,S0603,Stuxnet,Stuxnet attempts to access network resources with a domain account’s credentials.[18]
14,T1078.002,G0092,TA505,TA505 has used stolen domain admin accounts to compromise additional hosts.[19]
15,T1078.002,G0028,Threat Group-1314,"Threat Group-1314 actors used compromised domain credentials for the victim's endpoint management platform, Altiris, to move laterally.[20]"
16,T1078.002,G0102,Wizard Spider,"Wizard Spider has used administrative accounts, including Domain Admin, to move laterally within a victim network.[21]"
17,T1078.003,G0016,APT29,APT29 has used compromised local accounts to access victims' networks.[1]
18,T1078.003,G0050,APT32,APT32 has used legitimate local admin account credentials.[2]
19,T1078.003,S0154,Cobalt Strike,Cobalt Strike can use known credentials to run commands and spawn processes as a local user account.[3][4]
20,T1078.003,S0367,Emotet,"Emotet can brute force a local admin password, then use it to facilitate lateral movement.[5]"
21,T1078.003,G0051,FIN10,FIN10 has moved laterally using the Local Administrator account.[6]
22,T1078.003,G0125,HAFNIUM,HAFNIUM has used the NT AUTHORITY\SYSTEM account to create files on Exchange servers.[7]
23,T1078.003,G0094,Kimsuky,Kimsuky has used a tool called GREASE to add a Windows admin account in order to allow them continued access via RDP.[8]
24,T1078.003,S0368,NotPetya,NotPetya can use valid credentials with PsExec or wmic to spread itself to remote systems.[9][10]
25,T1078.003,G0116,Operation Wocao,Operation Wocao has used local account credentials found during the intrusion for lateral movement and privilege escalation.[11]
26,T1078.003,G0056,PROMETHIUM,PROMETHIUM has created admin accounts on a compromised host.[12]
27,T1078.003,G0081,Tropic Trooper,Tropic Trooper has used known administrator account credentials to execute the backdoor directly.[13]
28,T1078.003,G0010,Turla,Turla has abused local accounts that have the same password across the victim’s network.[14]
29,T1078.003,S0221,Umbreon,Umbreon creates valid local users to provide access to the system.[15]
30,T1078.004,G0007,APT28,APT28 has used compromised Office 365 service accounts with Global Administrator privileges to collect email from user inboxes.[4]
31,T1078.004,G0016,APT29,APT29 has used a compromised O365 administrator account to create a new Service Principal.[5]
32,T1078.004,G0064,APT33,APT33 has used compromised Office 365 accounts in tandem with Ruler in an attempt to gain control of endpoints.[6]
33,T1078.004,G0004,Ke3chang,Ke3chang has used compromised credentials to sign into victims�?Microsoft 365 accounts.[7]
34,T1078.004,S0683,Peirates,Peirates can use stolen service account tokens to perform its operations.[8]
35,T1078.004,S0684,ROADTools,ROADTools leverages valid cloud credentials to perform enumeration operations using the internal Azure AD Graph API.[9]
36,T1078,G0026,APT18,APT18 actors leverage legitimate credentials to log into external remote services.[3]
37,T1078,G0007,APT28,"APT28 has used legitimate credentials to gain initial access, maintain access, and exfiltrate data from a victim network. The group has specifically used credentials stolen through a spearphishing email to login to the DCCC network. The group has also leveraged default manufacturer's passwords to gain initial access to corporate networks via IoT devices such as a VOIP phone, printer, and video decoder.[4][5][6][7]"
38,T1078,G0016,APT29,APT29 used different compromised credentials for remote access and to move laterally.[8][9][10]
39,T1078,G0064,APT33,APT33 has used valid accounts for initial access and privilege escalation.[11][12]
40,T1078,G0087,APT39,APT39 has used stolen credentials to compromise Outlook Web Access (OWA).[13]
41,T1078,G0096,APT41,APT41 used compromised credentials to log on to other systems.[14][15]
42,T1078,G0001,Axiom,Axiom has used previously compromised administrative accounts to escalate privileges.[16]
43,T1078,G0008,Carbanak,Carbanak actors used legitimate credentials of banking employees to perform operations that sent them millions of dollars.[17]
44,T1078,G0114,Chimera,Chimera has used a valid account to maintain persistence via scheduled task.[18]
45,T1078,G0035,Dragonfly,Dragonfly has compromised user credentials and used valid accounts for operations.[19][20][21]
46,T1078,S0567,Dtrack,Dtrack used hard-coded credentials to gain access to a network share.[22]
47,T1078,S0038,Duqu,Adversaries can instruct Duqu to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials (via keylogging or other means). The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware.[23]
48,T1078,G0051,FIN10,FIN10 has used stolen credentials to connect remotely to victim networks using VPNs protected with only a single factor.[24]
49,T1078,G0085,FIN4,FIN4 has used legitimate credentials to hijack email communications.[25][26]
50,T1078,G0053,FIN5,"FIN5 has used legitimate VPN, RDP, Citrix, or VNC credentials to maintain access to a victim environment.[27][28][29]"
